City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
anadyr,90.0,RU,1538704800.0,81.0,64.73,177.51,46.4,17.9
maldonado,0.0,UY,1538704800.0,66.0,-34.91,-54.96,50.0,6.93
bluff,0.0,AU,1538708379.0,30.0,-23.58,149.07,87.26,9.64
hermanus,32.0,ZA,1538708379.0,89.0,-34.42,19.24,44.87,3.6
mahebourg,75.0,MU,1538704800.0,60.0,-20.41,57.7,71.6,10.29
jacareacanga,8.0,BR,1538708380.0,82.0,-6.22,-57.76,79.25,1.59
rikitea,88.0,PF,1538708381.0,100.0,-23.12,-134.97,69.8,13.0
severo-kurilsk,20.0,RU,1538708381.0,85.0,50.68,156.12,50.18,25.75
souillac,0.0,FR,1538706600.0,87.0,45.6,-0.6,57.2,6.93
ribeira grande,48.0,PT,1538708382.0,100.0,38.52,-28.7,71.06,20.27
isangel,56.0,VU,1538708382.0,100.0,-19.55,169.27,73.31,5.17
ushuaia,75.0,AR,1538704800.0,80.0,-54.81,-68.31,39.2,8.05
new norfolk,20.0,AU,1538706600.0,44.0,-42.78,147.06,57.2,9.17
mar del plata,12.0,AR,1538708135.0,90.0,-46.43,-67.52,42.26,7.96
barcelos,0.0,PT,1538706600.0,93.0,41.53,-8.62,51.8,2.15
punta arenas,40.0,CL,1538704800.0,75.0,-53.16,-70.91,42.8,11.41
nishihara,75.0,JP,1538705460.0,73.0,35.74,139.53,69.8,9.17
mataura,24.0,NZ,1538708384.0,78.0,-46.19,168.86,50.99,17.69
oussouye,0.0,SN,1538708384.0,100.0,12.49,-16.54,81.59,12.66
carnarvon,12.0,ZA,1538708384.0,61.0,-30.97,22.13,39.11,6.4
inuvik,20.0,CA,1538704800.0,79.0,68.36,-133.71,21.2,8.05
burns lake,20.0,CA,1538708385.0,80.0,54.23,-125.76,36.41,2.71
barraute,20.0,CA,1538704800.0,55.0,48.43,-77.63,32.0,3.36
palu,8.0,ID,1538708385.0,68.0,-0.9,119.87,78.62,2.15
abha,0.0,SA,1538704800.0,38.0,18.22,42.5,60.8,2.04
college,1.0,US,1538704680.0,6.0,64.86,-147.8,60.08,4.7
fosses,0.0,FR,1538706600.0,71.0,49.1,2.51,53.6,9.17
kudahuvadhoo,68.0,MV,1538708386.0,100.0,2.67,72.89,81.59,25.75
mandali,0.0,IQ,1538708387.0,32.0,33.75,45.55,71.78,3.83
yellowknife,75.0,CA,1538704800.0,68.0,62.45,-114.38,24.8,3.36
qaanaaq,64.0,GL,1538708387.0,100.0,77.48,-69.36,17.78,9.53
berlevag,32.0,NO,1538708206.0,100.0,70.86,29.09,30.47,4.38
hobart,20.0,AU,1538706600.0,44.0,-42.88,147.33,57.2,9.17
padang,12.0,ID,1538708388.0,100.0,-0.92,100.36,81.14,1.03
teya,20.0,MX,1538704200.0,78.0,21.05,-89.07,80.6,11.41
avarua,40.0,CK,1538704800.0,61.0,-21.21,-159.78,78.8,14.99
shahr-e kord,0.0,IR,1538704800.0,33.0,32.33,50.85,42.8,2.24
kapaa,1.0,US,1538704560.0,67.0,22.08,-159.32,84.92,10.29
nikolskoye,75.0,RU,1538704800.0,86.0,59.7,30.79,30.2,4.47
lesozavodsk,0.0,RU,1538708390.0,78.0,45.47,133.42,66.47,11.21
guerrero negro,0.0,MX,1538708390.0,91.0,27.97,-114.04,69.26,12.1
sungairaya,92.0,ID,1538708390.0,100.0,0.7,108.9,77.54,4.16
jamestown,0.0,AU,1538708391.0,52.0,-33.21,138.6,62.6,6.73
scarborough,68.0,GB,1538704200.0,82.0,54.28,-0.41,57.2,6.93
maceio,40.0,BR,1538708400.0,94.0,-9.67,-35.74,71.6,2.24
nouadhibou,44.0,MR,1538704800.0,50.0,20.93,-17.03,77.0,12.75
port elizabeth,90.0,US,1538708100.0,100.0,39.31,-74.98,75.92,3.36
domna,75.0,RU,1538704800.0,54.0,51.9,113.16,37.4,13.42
painesville,75.0,US,1538705820.0,68.0,41.72,-81.25,55.94,12.75
castro,0.0,CL,1538708458.0,100.0,-42.48,-73.76,38.48,5.73
saldanha,0.0,PT,1538708459.0,79.0,41.42,-6.55,47.21,2.48
port alfred,12.0,ZA,1538708459.0,98.0,-33.59,26.89,60.17,10.65
albany,20.0,US,1538707860.0,72.0,42.65,-73.75,66.02,8.05
thompson,20.0,CA,1538704800.0,73.0,55.74,-97.86,21.2,4.61
